enjoyment,age,language,asses,workerid,comments,education,gender
2,37,English,Yes,0,,4,Male
2,25,English,Yes,1,,3,Male
0,27,ENGLISH ,,2,thank you,4,Male
1,29,English,Yes,3,good,3,Female
2,45,English ,Yes,4,Very interactive,3,Male
2,35,English,Yes,5,nice,4,Female
2,30,English,Yes,6,good,3,Male
2,26,English,Yes,7,,2,Male
2,44,English,Yes,8,Thank you,2,Male
2,60,English,Yes,9,Different type of hit.,2,Female
2,28,English,Yes,10,No Comments,3,Male
2,55,english,Yes,11,good task,3,Male
2,40,english,Yes,12,i would like to work on this study,3,Male
2,28,English,No,13,good study,3,Male
1,32,English,Yes,14,,3,Female
2,32,English,Yes,15,This is very interesting and I like to do it,3,Female
2,35,English ,Yes,16,,3,Female
2,46,English,Yes,17,Its very interested,3,
2,29,english,No,18,,2,Female
2,28,English,Yes,19,good study.,-1,Male
2,24,English,Yes,20,Interesting hit it was.,3,Male
2,30,english,Yes,21,i have none,2,Female
1,33,English,Yes,22,very nice,3,Male
1,32,English ,Yes,23,NO,3,Male
2,26,English,Yes,24,"It was a fun hit to work on, thanks.",3,Female
2,22,English,Yes,25,,1,Male
2,32,English,Yes,26,,3,Male
2,51,English,Yes,27,interesting. Makes one think about the nuances of language. ,1,Female
1,33,English,Yes,28,,1,Female
1,33,english,Yes,29,for the language experience,3,Male
2,60,English,Confused,30,,3,Male
1,27,English,Yes,31,,3,Male
2,32,ENGLISH,Yes,32,,3,Male
1,36,english,Yes,33,None,1,Male
2,25,English,Yes,34,great study.,3,Female
2,30,English,Yes,35,good,4,Female
2,27,English,Yes,36,,3,Male
1,40,english,Yes,37,this survey is very easy.,3,Female
1,32,english,Yes,38,,3,Male
2,32,English,Yes,39,excellent,4,Male
2,29,English,Yes,40,none,3,Male
2,48,English,Yes,41,It is very interesting.,3,Female
2,34,english,Yes,42,,3,Male
2,50,english,Yes,43,Everything worked great.,1,Female
2,37,English,No,44,,3,Female
2,35,English,No,45,Good and stress free.,4,Male
1,63,ENGLISH,Yes,46,,2,Male
2,29,english,Yes,47,,2,Female
1,30,English,,48,No Comments,3,Male
2,32,english,Confused,49,like ,3,Male
1,38,English,Yes,50,,3,Male
2,46,english,No,51,,2,Female
2,30,English,Yes,52,,3,Male
2,45,English,Yes,53,different and interesting,3,Female
2,35,English,Yes,54,,3,Male
2,31,english,Yes,55,,0,Female
1,35,english,Yes,56,nice,3,Female
2,31,English,Yes,57,Very thankful for a fair requester. When requesters pay well I feel appreciated and thankful.,2,Male
2,40,English,Yes,58,Nice,3,Male
2,34,English,Yes,59,Good,3,Male
1,28,english,Yes,60,good,3,Male
2,35,English,Yes,61,Interesting,3,Female
2,29,English,Yes,62,Very interesting and enjoyed,3,Male
1,36,English,No,63,,4,Male
2,39,English,Yes,64,ty,2,Male
1,42,ENGLISH,,65,,3,Female
2,46,english,Yes,66,,3,Male
1,61,English,Yes,67,good,3,Female
2,38,English,Yes,68,"Fun study, thanks!",3,Male
2,34,ENGLISH,Yes,69,GOOD,3,Female
2,25,English,Yes,70,nothing,3,Male
1,49,English,Yes,71,,4,Male
2,44,English,Yes,72,none.,4,Male
2,32,english,Yes,73,thank you,4,Male
2,44,English,No,74,,3,Male
2,29,English,Yes,75,Nothing,3,Female
2,60,eng,Yes,76,,2,Female
1,30,English ,Yes,77,the experiment is good,4,Male
1,29,English,Yes,78,good ,3,Female
2,29,English ,Yes,79,,2,Male
2,37,English,Yes,80,"It was interesting, Thanks! I would certainly do more of these if they are available. ",2,Female
1,36,English,Yes,81,I enjoyed this survey,2,Female
1,33,english,Yes,82,,3,Male
2,27,English ,Yes,83,cool work ,4,Male
2,27,English ,Yes,84,nice work,4,Female
1,33,English,Yes,85,thanks,3,Male
1,30,English,Yes,86,,2,Male
1,30,ENGLISH,Yes,87,GOOD,3,Male
1,50,english,Confused,88,no,3,Male
2,28,Spanish and English,Yes,89,,3,Male
2,36,English,Yes,90,na,4,Male
2,51,English,Yes,91,Love the survey.,2,Male
1,36,english,Yes,92,,3,Male
1,30,English,Yes,93,the experiment is good,3,Male
1,29,english,Yes,94,good,3,Male
2,48,English,Yes,95,No Comments,3,Female
1,25,English,Yes,96,,3,Female
1,28,english,Yes,97,,2,Female
2,54,English,Yes,98,No comment,1,Male
2,29,English,Yes,99,So interesting and then so good,3,Female
2,28,English ,Yes,100,Nice hit,3,Male
1,35,English,Yes,101,,3,Female
2,32,English,Yes,102,,3,Female
2,33,ENGLISH,Yes,103,VERY INTERESTING ,1,Male
2,69,English,Yes,104,everything was clear,4,Female
2,64,English,Yes,105, So good and interested ,3,Male
2,32,English,Yes,106,,3,Male
2,60,English,Yes,107,"Good pay, clear",3,Male
1,26,English,Yes,108,No comments,3,Male
2,53,English ,Yes,109,,3,Male
1,50,English,Yes,110,no problems.,2,Male
2,35,english,Yes,111,i like this,3,Male
2,50,English,Yes,112,very interesting experiment,3,Female
2,36,English,Yes,113,"Very fair pay, quick survey.",2,Female
2,48,English,Yes,114,,3,Male
2,58,English,Yes,115,,3,Female
2,31,English,Yes,116,,3,Male
2,27,english,Yes,117,n/a,2,Male
2,56,English,Yes,118,I hope this went fine and no rejection,1,Female
0,35,ENGLISH,Yes,119,NICE,1,Female
2,40,english,Yes,120,thank you,1,Female
1,35,English,Yes,121,,2,Male
2,35,english,Yes,122,nil,3,Female
1,34,english,Yes,123,thank you,3,Male
2,29,english,Yes,124,good,3,Male
1,42,english,Confused,125,n/a,2,Female
2,54,english,,126,nothing,3,Male
2,30,English,Yes,127,Good,4,Female
2,50,English,Yes,128,"I enjoyed the experiment very much, thank you =)",1,Female
2,30,english,Yes,129,very good survey,3,Male
1,29,English,Yes,130,,1,Female
1,37,English,Yes,131,None.,4,Male
2,32,English,Yes,132,I want to thank you for this opportunity. ,1,Male
2,30,English,Yes,133,good,3,Male
2,35,English,Yes,134,Nice study,3,Male
1,41,eng,Yes,135,,1,Male
2,32,English,Yes,136,,3,Male
2,30,english,Yes,137,good study in this survey,3,Male
2,49,english,Yes,138,thank you,4,Female
2,66,english,Yes,139,very useful,3,Female
2,30,English,Yes,140,very nice survey.,3,Male
2,27,english,Yes,141,nice,3,Female
2,32,English,Yes,142,good study,3,Male
1,42,English,No,143,None,2,Male
2,38,English,Yes,144,its nice survey,3,Female
2,32,english,Yes,145,fun!,1,Female
2,23,English,Yes,146,,1,Male
2,28,English,Yes,147,Nice task,4,Male
2,48,English,Yes,148,,2,Male
2,32,English,Yes,149,,2,Male
2,27,English,,150,Nice and good survey,3,Male
2,36,English,Yes,151,"Some of these were difficult since we know what they were asking about, but they had underlying assumptions to their questions that may or may not be true and we have no evidence as to their knowledge of those assumptions. ",4,Male
2,48,English,Yes,152,I am Very interested.,3,Female
2,44,english,Yes,153,,3,Female
2,29,English,Yes,154,,3,Male
2,40,English,Yes,155,No comments.thank you for the opportunity.,3,Male
2,47,english,Yes,156,,3,Male
2,32,English,Yes,157,excellent,4,Male
1,35,english,Yes,158,,3,Female
2,30,English,Yes,159,this experiment was good,2,Male
2,23,english,Yes,160,It is interesting how just one or two words can change my perceived certainty of someone's knowledge about something. ,4,Male
2,32,English,Yes,161,,3,Female
2,32,englishbn,Yes,162,"very good survey
",2,Male
2,38,English,Yes,163,,3,Male
2,61,English,Yes,164,"none, but thank you!",3,Female
2,27,English,Yes,165,,3,Female
2,32,english,Yes,166,good,3,Female
2,35,English,Yes,167,Nothing,3,Male
1,46,English,Yes,168,,2,Male
2,33,English,Yes,169,some sentences were hard to understand because of some of the words used in each statement.,3,Female
2,30,english,Yes,170,good survey,3,Male
2,37,English,Yes,171,I thought it was interesting.,4,Male
2,42 ,English ,Yes,172,Its nice to read and give it.,3,Male
2,22,English,Yes,173,,2,Male
1,32,English,Confused,174,GOod,3,Male
2,34,English,Yes,175,,4,Male
2,27,"English, Spanish",Yes,176,Well payed hit. Thanks,3,Male
1,35,english,Yes,177,,3,Male
1,62,English,Yes,178,Interesting,3,Female
2,57,English,Yes,179,,4,Female
2,30,English,Yes,180,Good.,4,Male
2,33,english,Yes,181,everything worked fine and was easy to understand,2,Male
2,51,English,Yes,182,Very interesting survey but difficult.,2,Male
2,45,english,Yes,183,good job thank you,4,Female
1,38,English,Yes,184,,3,Female
2,25,English,Yes,185,,3,Male
2,41,English,Yes,186,thank you!,3,Male
2,31,English,Yes,187,no comment,2,Female
2,35,English,Yes,188,Good luck for your study.,3,Male
2,36,English,Yes,189,could be slightly confusing even reading carefully! ,3,Male
2,27,,Yes,190,GOOD AND VERY USEFUL,3,Male
2,58,English,Yes,191,it is nice to answer the questions you asked,3,Male
2,48,English,Yes,192,,2,Male
2,28,ENGLISH,Yes,193,NO,3,Male
1,41,English,Yes,194,none,3,Female
2,38,English,Yes,195,none,3,Male
2,58,English,Yes,196,,4,Female
1,30,English,Yes,197,N/A,1,Male
0,61,english,Yes,198,good work for his survey thank you,3,Female
-1,38,,Yes,199,,3,Male
2,30,english,Yes,200,good,3,Male
2,30,English,,201,"The questions were a bit tricky,and the instructions on how to tackle the task were really not clear.A more direct example would have been better",3,Male
2,27,English,Yes,202,It was a fine and nice survey,3,Male
1,27,English,Yes,203,,3,Male
1,48,english,Yes,204,quite interesting and fun,3,Male
2,29,English,Yes,205,good,4,Male
2,30,English,Yes,206,good,3,Male
2,43,English,Yes,207,,3,Male
2,28,english,Yes,208,no,3,Male
1,30,English,Yes,209,good,3,Male
1,30,English,Yes,210,,3,Male
0,33,English,,211,very nice,3,Male
2,52,english,Yes,212,nice,3,Male
1,36,English,Yes,213,,-1,Female
2,45,English,Confused,214,,3,Female
2,56,ENGLISH,Yes,215,THANK YOU.,3,Male
0,33,English,Confused,216,,2,Male
2,30,English,Yes,217,None,2,Male
1,26,English,Yes,218,,4,Male
2,21,English,Yes,219,I found it interesting. I don't know if it was intended but it was easy to figure what response to give purely based on the sentence length. Longer sentences allowed for relative confirmation that the thing DID happen. Short sentences were less certain on average.,1,Male
2,30,English,Yes,220,very nice survey.,3,Male
2,66,English,Yes,221,Fun and paid well.,2,Male
2,32,English,Yes,222,No comments. ,3,Male
2,36,English,Yes,223,Thanks!,3,Male
2,32,English,Yes,224,,1,Male
2,29,ENGLISH,Yes,225,GOOD ONE,3,Male
2,29,english,No,226,good,3,Male
2,42,English,Yes,227,thanks,3,Male
2,49,english,Yes,228,,-1,Female
2,32,english,Yes,229,really informative to knowledge,4,Female
2,25,English,Yes,230,,2,Male
1,54,English,Yes,231,,3,Male
2,28,English,Yes,232,NICE SURVEY,2,Female
2,30,English,Yes,233,,1,Male
2,34,English,Yes,234,,3,Male
2,36,English,Yes,235,I thought it was fun.,3,Female
2,35,English,Yes,236,"None, nice study. I hope I'm not rejected. Did my best! Thanks",4,Male
1,27,English,Yes,237,,1,Male
2,34,English,Yes,238,,3,Male
2,52,English,Yes,239,"There are always interesting and engaging, keep it up",3,Male
1,34,english,Yes,240,good,3,Male
2,30,English,Yes,241,very interesting,4,Male
1,24,English,Yes,242,,3,Male
2,21,english,Yes,243,,3,Female
2,33,English,Yes,244,,3,Male
2,30,english,Yes,245,very good,4,Female
1,28,English ,Yes,246,it is good idea survey ,3,Male
2,30,English,Yes,247,"None, thank you!",2,Male
2,28,english,Yes,248,good work,3,Male
2,61,English,Yes,249,,1,Female
2,36,English,Yes,250,,1,Male
2,35,ENGLISH,Yes,251,It's very interesting,3,Female
2,52,English,Yes,252,none,3,Male
2,30,English,Yes,253,GOOD WORK,3,Male
2,40,ENGLISH,Yes,254,I LIKE THIS STUDY,3,Male
0,62,ENGLISH,Yes,255,THE SURVEY VERY IMPORTAN,2,Female
2,30,english,No,256,,3,Female
1,23,English,Yes,257,Interesting hit,3,Female
2,57,English,Yes,258,Its really a interesting and engaging survey ,2,Male
2,29,English,Yes,259,good,3,Male
2,29,English,Yes,260,GOOD,3,Female
1,39,english,Yes,261,,4,Female
2,30,english,Yes,262,none,3,Male
1,23,English,Yes,263,,3,Male
2,25,English,Yes,264,Good,3,Female
2,25,english,Yes,265,great work.,3,Male
2,57,English,Yes,266,none,2,Female
2,47,Anerican,Yes,267,It was interesting. It made me think about language and the innate properties associated with specific word combinations.,3,Other
2,52,english,Yes,268,language is my jam,3,Female
1,39,English,Yes,269,,3,Female
2,29,ENGLISH,Yes,270,NICE,3,Male
2,20,English,Yes,271,,1,Male
1,39,English,Yes,272,I hope I answered the attention check questions correctly! Thank you.,2,Female
1,36,English,Yes,273,,3,Male
2,37,English,Yes,274,,4,Male
1,27,english,No,275,good,3,Male
2,62,English,Yes,276,interested,3,Female
1,29,English,Yes,277,n/a,1,Male
2,30,English,Yes,278,,3,Female
1,56,english,Yes,279,,2,Male
2,46,English,Yes,280,This study is very simple and the information are clear to read.,3,Male
2,37,english,Yes,281,good study,2,Female
1,48,English,Yes,282,NA,2,Female
2,29,English,Yes,283,Interesting and enjoyed,3,Male
2,54,English,No,284,Nil,4,Male
2,25,English,Yes,285,,3,Male
1,30,English,Yes,286,,4,Female
2,25,english,Yes,287,great work.,3,Female
2,28,English,Yes,288,No comments,3,Male
1,30,English,Yes,289,good,3,Male
2,28,english,Confused,290,,3,Male
2,59,ENGLISH,Yes,291,ITS VERY EASY SURVEY,3,Male
2,48,ENGLISH,No,292,,4,Male
1,30,english,Yes,293,"good and nice
",3,Male
2,32,"English, Greek",Yes,294,,3,Female
2,35,English,Yes,295,,4,Male
2,30,english,Yes,296,good,3,Male
2,28,ENGLISH,Yes,297,NICE,4,Male
1,40,english,Yes,298,yes,3,Male
1,40,English,Yes,299,,2,Female
