predicate,broad class,factivity,agentivity
aggravate,emotive,1,0
alarm,emotive,1,1
amuse,emotive,1,0
anticipate,doxastic,0,1
argue,communicative,0,1
bet,doxastic,0,0
celebrate,emotive,1,0
charm,emotive,1,0
compute,inferential,0,1
cringe,emotive,1,0
dictate,communicative,0,1
disgust,emotive,1,0
distress,emotive,1,0
elaborate,communicative,0,1
embarrass,emotive,1,0
enjoy,emotive,1,0
envision,doxastic,0,1
excite,emotive,1,0
expose,inferential/doxastic,0,1
express,communicative,0,1
fantasize,doxastic,0,0
fascinate,emotive,1,0
feel,doxastic,0,0
gossip,communicative,0,1
ignore,communicative,1,1
insult,emotive,1,0
irritate,emotive,1,0
joke,communicative,0,1
love,emotive,1,0
murmur,communicative,0,0
offend,emotive,1,0
pain,emotive,1,0
pray,doxastic,0,0
promise,communicative,0,1
require,Inferential/doxastic,0,1
resent,emotive,1,0
retract,communicate?,0,1
scream,communicative,0,1
shock,emotive,1,0
shout,communicative,0,0
simulate,doxastic?,0,0
squeal,communicative,0,0
suppose,doxastic,0,1
surprise,emotive,1,0
testify,communicative,0,0
think,communicative,0,0
thrill,emotive,1,0
torture,emotive,1,0
trouble,emotive,1,0
tweet,communicative,0,0
verify,doxastic,0,1
weep,emotive,1,0
whine,communicative,0,1
write,communicative,0,0